ckpt_index,method,env_id,episode,episode_in_env,step,mode,reason,rss_margin,rss_margin_current,rss_margin_min_pred,rss_margin_final_pred,rss_lateral_clearance_min_pred,rss_lateral_clearance_final_pred,predicted_progress,mpc_success,mpc_num_candidates,mpc_num_feasible,mpc_best_cost,fallback_used,cbf_mode,cbf_reason,cbf_action_delta,cbf_acc_safe,cbf_steer_safe,cbf_reference_mode,cbf_reference_action_delta,cbf_reference_acc_safe,cbf_reference_steer_safe,cbf_guard_used,cbf_guard_delta,selective_mpc_enabled,mpc_called,mpc_call_reason,deadlock_risk,deadlock_score,deadlock_counter,deadlock_window_progress,deadlock_window_avg_speed,deadlock_cbf_active_ratio,deadlock_front_active_ratio,deadlock_avg_cbf_delta,deadlock_cbf_fallback_ratio,deadlock_route_completion,deadlock_reason,terminal_recoverable,terminal_recovery_reason,recovery_progress,recovery_margin_improvement,blocking_object_final,minimum_risk_stop_used,mpc_terminal_feasible,mpc_guard_rejected,dynamic_vehicle_detected,action_delta,acc_nominal,acc_safe,acc_delta,steer_nominal,steer_safe,steer_delta,step_cost,cumulative_cost,crash,crash_vehicle,crash_object,out_of_road,route_completion,velocity,filter_applied,object_kind,d_front,rss_distance,env_action_nominal_steer,env_action_nominal_throttle_brake,env_action_safe_steer,env_action_safe_throttle_brake,internal_action_nominal_acc,internal_action_nominal_steer,internal_action_safe_acc,internal_action_safe_steer,adapter_error
10000,ppl_rss_mpc,1036,1,1,11,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9878182411193848,-0.05776470899581909,normal,0.0,1.9878182411193848,-0.05776470899581909,False,0.0,True,False,,False,0.16666666666666666,0,1.4131312370300293,1.5036986230988463,0.0,0.0,0.0,0.0,0.02372722780098201,deadlock_conditions_not_met,False,,,,False,False,0,0,False,0.0,1.9878182411193848,1.9878182411193848,0.0,-0.05776470899581909,-0.05776470899581909,0.0,0,0,False,False,False,False,0.024860510603912735,3.307528168209705,False,none,inf,0.0,-0.05776470899581909,0.9939091205596924,-0.05776470899581909,0.9939091205596924,1.9878182411193848,-0.05776470899581909,1.9878182411193848,-0.05776470899581909,
10000,ppl_rss_mpc,1036,1,1,12,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9858405590057373,-0.04992872476577759,normal,0.0,1.9858405590057373,-0.04992872476577759,False,0.0,True,False,,False,0.16666666666666666,0,1.7194414138793945,1.6540177518580845,0.0,0.0,0.0,0.0,0.024860510603912735,deadlock_conditions_not_met,False,,,,False,False,0,0,False,0.0,1.9858405590057373,1.9858405590057373,0.0,-0.04992872476577759,-0.04992872476577759,0.0,0,0,False,False,False,False,0.02610435560339669,3.6073765049362163,False,none,inf,0.0,-0.04992872476577759,0.9929202795028687,-0.04992872476577759,0.9929202795028687,1.9858405590057373,-0.04992872476577759,1.9858405590057373,-0.04992872476577759,
10000,ppl_rss_mpc,1036,1,1,13,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9835166931152344,-0.041109323501586914,normal,0.0,1.9835166931152344,-0.041109323501586914,False,0.0,True,False,,False,0.16666666666666666,0,2.0556349754333496,1.8042761174794792,0.0,0.0,0.0,0.0,0.02610435560339669,deadlock_conditions_not_met,False,,,,False,False,0,0,False,0.0,1.9835166931152344,1.9835166931152344,0.0,-0.041109323501586914,-0.041109323501586914,0.0,0,0,False,False,False,False,0.027458753978451225,3.906933968530377,False,none,inf,0.0,-0.041109323501586914,0.9917583465576172,-0.041109323501586914,0.9917583465576172,1.9835166931152344,-0.041109323501586914,1.9835166931152344,-0.041109323501586914,
10000,ppl_rss_mpc,1036,1,1,14,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9805107116699219,-0.03217095136642456,normal,0.0,1.9805107116699219,-0.03217095136642456,False,0.0,True,False,,False,0.16666666666666666,0,2.4217095375061035,1.9544659639831148,0.0,0.0,0.0,0.0,0.027458753978451225,deadlock_conditions_not_met,False,,,,False,False,0,0,False,0.0,1.9805107116699219,1.9805107116699219,0.0,-0.03217095136642456,-0.03217095136642456,0.0,0,0,False,False,False,False,0.028923622811839418,4.206046077517271,False,none,inf,0.0,-0.03217095136642456,0.9902553558349609,-0.03217095136642456,0.9902553558349609,1.9805107116699219,-0.03217095136642456,1.9805107116699219,-0.03217095136642456,
10000,ppl_rss_mpc,1036,1,1,15,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9796407222747803,-0.05253249406814575,normal,0.0,1.9796407222747803,-0.05253249406814575,False,0.0,True,False,,False,0.16666666666666666,0,2.8176426887512207,2.104571304885392,0.0,0.0,0.0,0.0,0.028923622811839418,deadlock_conditions_not_met,False,,,,False,False,0,0,False,0.0,1.9796407222747803,1.9796407222747803,0.0,-0.05253249406814575,-0.05253249406814575,0.0,0,0,False,False,False,False,0.030498392268081986,4.504091732060998,False,none,inf,0.0,-0.05253249406814575,0.9898203611373901,-0.05253249406814575,0.9898203611373901,1.9796407222747803,-0.05253249406814575,1.9796407222747803,-0.05253249406814575,
10000,ppl_rss_mpc,1036,1,1,16,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9749302864074707,-0.05652594566345215,normal,0.0,1.9749302864074707,-0.05652594566345215,False,0.0,True,False,,False,0.16666666666666666,0,3.2432804107666016,2.254541331583867,0.0,0.0,0.0,0.0,0.030498392268081986,deadlock_conditions_not_met,False,,,,False,False,0,0,False,0.0,1.9749302864074707,1.9749302864074707,0.0,-0.05652594566345215,-0.05652594566345215,0.0,0,0,False,False,False,False,0.032182074397121965,4.801712645827991,False,none,inf,0.0,-0.05652594566345215,0.9874651432037354,-0.05652594566345215,0.9874651432037354,1.9749302864074707,-0.05652594566345215,1.9749302864074707,-0.05652594566345215,
10000,ppl_rss_mpc,1036,1,1,17,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9720144271850586,-0.048466265201568604,normal,0.0,1.9720144271850586,-0.048466265201568604,False,0.0,True,False,,False,0.16666666666666666,0,3.6983556747436523,2.4043749383041098,0.0,0.0,0.0,0.0,0.032182074397121965,deadlock_conditions_not_met,False,,,,False,False,0,0,False,0.0,1.9720144271850586,1.9720144271850586,0.0,-0.048466265201568604,-0.048466265201568604,0.0,0,0,False,False,False,False,0.033974554526184884,5.099455530279306,False,none,inf,0.0,-0.048466265201568604,0.9860072135925293,-0.048466265201568604,0.9860072135925293,1.9720144271850586,-0.048466265201568604,1.9720144271850586,-0.048466265201568604,
10000,ppl_rss_mpc,1036,1,1,18,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.967844009399414,-0.03873550891876221,normal,0.0,1.967844009399414,-0.03873550891876221,False,0.0,True,False,,False,0.16666666666666666,0,4.18283748626709,2.5541016378582873,0.0,0.0,0.0,0.0,0.033974554526184884,deadlock_conditions_not_met,False,,,,False,False,0,0,False,0.0,1.967844009399414,1.967844009399414,0.0,-0.03873550891876221,-0.03873550891876221,0.0,0,0,False,False,False,False,0.03587608317117805,5.3967126029999575,False,none,inf,0.0,-0.03873550891876221,0.983922004699707,-0.03873550891876221,0.983922004699707,1.967844009399414,-0.03873550891876221,1.967844009399414,-0.03873550891876221,
10000,ppl_rss_mpc,1036,1,1,19,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9642729759216309,-0.011056244373321533,normal,0.0,1.9642729759216309,-0.011056244373321533,False,0.0,True,False,,False,0.16666666666666666,0,4.696793556213379,2.7037127412867963,0.0,0.0,0.0,0.0,0.03587608317117805,deadlock_conditions_not_met,False,,,,False,False,0,0,False,0.0,1.9642729759216309,1.9642729759216309,0.0,-0.011056244373321533,-0.011056244373321533,0.0,0,0,False,False,False,False,0.03788702022819363,5.693320379461161,False,none,inf,0.0,-0.011056244373321533,0.9821364879608154,-0.011056244373321533,0.9821364879608154,1.9642729759216309,-0.011056244373321533,1.9642729759216309,-0.011056244373321533,
10000,ppl_rss_mpc,1036,1,1,20,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9939117431640625,0.07364785671234131,normal,0.0,1.9939117431640625,0.07364785671234131,False,0.0,True,False,,False,0.16666666666666666,0,5.240321159362793,2.8531931231955143,0.0,0.0,0.0,0.0,0.03788702022819363,deadlock_conditions_not_met,False,,,,False,False,0,0,False,0.0,1.9939117431640625,1.9939117431640625,0.0,0.07364785671234131,0.07364785671234131,0.0,0,0,False,False,False,False,0.04000865003230569,5.9863570780403155,False,none,inf,0.0,0.07364785671234131,0.9969558715820312,0.07364785671234131,0.9969558715820312,1.9939117431640625,0.07364785671234131,1.9939117431640625,0.07364785671234131,
