,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
0,260,11.79086901192315,True,319.4276128281931,0.0,False,False,False,0.9867665152941385,1,6000,1000,1
1,168,9.812609717411064,False,170.015383199552,1.0,True,False,True,0.5669794081683717,2,6000,1001,1
2,300,12.834235371634929,True,397.1140971548607,9.0,False,False,False,0.987918980844864,3,6000,1002,1
3,315,13.206813956325831,True,430.83622555415184,0.0,False,False,False,0.9896381402719622,4,6000,1003,1
4,179,13.376217601682802,False,247.45967291366796,1.0,False,False,True,0.4923654428560919,5,6000,1004,1
5,254,10.690779650674259,False,279.7463049540636,1.0,False,False,True,0.7462393365196837,6,6000,1005,1
6,215,10.696949628236482,False,238.27094466907775,18.0,True,True,True,0.5380426172970845,7,6000,1006,1
7,336,12.252211035309571,True,422.51422095082376,0.0,False,False,False,0.9898145556735377,8,6000,1007,1
8,196,13.851044844348712,False,280.3861118934864,6.0,False,False,True,0.7625455172284489,9,6000,1008,1
9,217,10.791042704655013,False,240.1731468214711,1.0,False,False,True,0.6724397054748016,10,6000,1009,1
10,257,12.15512737241962,True,322.6656086800393,0.0,False,False,False,0.9852819419021922,11,6000,1010,1
11,83,9.13920447736199,False,77.62783681487781,1.0,False,False,True,0.23724474368260642,12,6000,1011,1
12,273,13.38696840516037,True,377.8693907980551,0.0,False,False,False,0.9889109364155908,13,6000,1012,1
13,205,11.475441263465541,False,242.81727607602642,1.0,False,False,True,0.7128816014072162,14,6000,1013,1
14,204,12.407533029262142,True,262.81245251791086,0.0,False,False,False,0.9833986057531403,15,6000,1014,1
15,179,9.405893268303002,False,174.9879653990211,11.0,False,False,True,0.30548758109343876,16,6000,1015,1
16,132,9.897003314434865,False,133.96050606044975,1.0,False,False,True,0.4496125186285576,17,6000,1016,1
17,271,12.423130771420567,True,349.31580651181565,0.0,False,False,False,0.988768109585094,18,6000,1017,1
18,214,13.879838890953005,False,307.766302688328,1.0,False,False,True,0.7104646710411522,19,6000,1018,1
19,131,9.986918083336583,False,135.40961640558902,1.0,False,False,True,0.4763460216005882,20,6000,1019,1
20,225,10.674734475699378,True,245.87568832043107,0.0,False,False,False,0.9823005352054545,21,6000,1020,1
21,308,12.284246408582554,True,389.6300925705477,3.0,False,False,False,0.9882225165502381,22,6000,1021,1
22,333,12.345029917669972,True,423.884709042601,17.0,False,False,False,0.9880518891862684,23,6000,1022,1
23,120,11.017866753474902,False,136.92939909043483,1.0,False,False,True,0.4461677481625036,24,6000,1023,1
24,243,14.488863354238262,False,365.78524372345214,4.0,False,False,True,0.7028876951713968,25,6000,1024,1
25,206,11.91406402833438,True,255.571652129182,0.0,False,False,False,0.985299163888422,26,6000,1025,1
26,169,11.950742566162154,False,207.22252597888092,1.0,False,False,True,0.4323252174444956,27,6000,1026,1
27,286,11.565820745265137,True,341.02935148045515,17.0,False,False,False,0.9839162000214137,28,6000,1027,1
28,194,11.562744517894924,True,231.63451348902976,0.0,False,False,False,0.9837102157313061,29,6000,1028,1
29,210,12.3536027919298,True,270.3958372759694,0.0,False,False,False,0.9807486424318276,30,6000,1029,1
30,257,11.579410972170106,True,307.8581955238047,0.0,False,False,False,0.9842660244662215,31,6000,1030,1
31,333,13.58240725260306,True,468.5471205541927,8.0,False,False,False,0.9892574983252754,32,6000,1031,1
32,134,10.48362155644055,False,144.23768397320325,10.0,False,False,True,0.5145892316295948,33,6000,1032,1
33,269,13.581327215713493,True,378.73506030233017,0.0,False,False,False,0.9885668299181423,34,6000,1033,1
34,169,10.689095515946617,False,185.96970038035184,1.0,False,False,True,0.3333007011372285,35,6000,1034,1
35,207,13.348099885645185,False,285.25018577538583,6.0,True,True,True,0.7454919803370248,36,6000,1035,1
36,206,12.983003678348988,True,278.23683631099607,0.0,False,False,False,0.9829376164926668,37,6000,1036,1
37,257,13.282725343837745,True,352.3167790173026,0.0,False,False,False,0.9872131280209238,38,6000,1037,1
38,165,12.888337955062669,False,220.23485044516693,1.0,True,False,True,0.5167237566776826,39,6000,1038,1
39,265,11.582528434145065,True,319.4196569818848,20.0,True,True,False,0.9837763381549173,40,6000,1039,1
40,136,10.836392310802015,False,150.34350995240132,1.0,False,False,True,0.45112038052177167,41,6000,1040,1
41,265,11.46427501171601,True,312.70579544254855,11.0,False,False,False,0.9857072901203878,42,6000,1041,1
42,273,10.418900683111229,True,293.62230255482734,6.0,True,True,False,0.9863429695825638,43,6000,1042,1
43,285,13.01689069315359,False,384.39663572853897,1.0,True,False,True,0.8065367595708137,44,6000,1043,1
44,228,12.15720082457378,True,287.45050652099025,0.0,False,False,False,0.9822982908294683,45,6000,1044,1
45,146,13.231937179397553,False,199.07640405754165,1.0,False,False,True,0.46327691870254156,46,6000,1045,1
46,355,14.953528418118397,True,549.854254787145,0.0,False,False,False,0.9934243769129261,47,6000,1046,1
47,191,11.557038428611955,True,228.6245624897657,0.0,False,False,False,0.9768599547843962,48,6000,1047,1
48,343,11.328913513564212,True,401.81457675751915,3.0,False,False,False,0.9884907694984184,49,6000,1048,1
49,247,13.361320219586384,True,343.33558665621206,0.0,False,False,False,0.9887261818010887,50,6000,1049,1
0,257,11.942234260465751,True,317.9563900548926,3.0,False,False,False,0.9847136400552899,1,6200,1000,1
1,167,9.827964025198652,False,170.19180163034255,1.0,True,False,True,0.5687185058266603,2,6200,1001,1
2,308,12.48239507988452,True,397.4425129167913,15.0,False,False,False,0.9891267143159083,3,6200,1002,1
3,327,12.763469942852492,True,431.40690129083345,0.0,False,False,False,0.9897206629950281,4,6200,1003,1
4,161,13.26626282738634,False,220.06372251267015,1.0,False,False,True,0.44205216425233085,5,6200,1004,1
5,313,11.4101614175305,True,366.11768113566745,4.0,False,False,False,0.9841282016914784,6,6200,1005,1
6,328,12.77040835795433,True,434.39544934949623,0.0,False,False,False,0.9923960205210031,7,6200,1006,1
7,337,12.209506922040235,True,423.1333294812134,0.0,False,False,False,0.9912301987474039,8,6200,1007,1
8,197,13.685046319973198,False,278.162598929632,5.0,True,False,True,0.7580444340717594,9,6200,1008,1
9,218,10.630906590108786,False,238.99718650582957,1.0,False,False,True,0.6683969164367991,10,6200,1009,1
10,229,11.402525160462643,False,267.681204862911,8.0,True,False,True,0.825154023798388,11,6200,1010,1
