,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
0,248,12.305583501518775,True,316.8830587222152,0.0,False,False,False,0.981766601877861,1,6000,1000,1
1,193,9.85728403767062,False,195.52107185947668,3.0,False,False,True,0.6480248810549958,2,6000,1001,1
2,305,12.465344633586339,True,394.7139711075274,0.0,False,False,False,0.987300563360718,3,6000,1002,1
3,329,12.668258436652703,True,430.9532886837194,0.0,False,False,False,0.9910986763836325,4,6000,1003,1
4,392,12.052837965176808,True,489.90422210775785,37.0,False,False,False,0.9905807496723058,5,6000,1004,1
5,354,10.146520335883908,True,374.02729707632335,5.0,False,False,False,0.9884657371593913,6,6000,1005,1
6,305,13.621657658860556,True,430.0877232472994,0.0,False,False,False,0.989650565284992,7,6000,1006,1
7,339,12.215614795426113,True,431.62862904842785,9.0,False,False,False,0.9895542168129197,8,6000,1007,1
8,268,13.33699070986401,True,370.77372170292017,21.0,False,False,False,0.9866103162028477,9,6000,1008,1
9,282,12.163359287075515,True,355.62762398268256,0.0,False,False,False,0.9861985460616377,10,6000,1009,1
10,257,12.158498159591675,True,323.66415178769256,1.0,False,False,False,0.9828697022310594,11,6000,1010,1
11,330,10.555857327585668,True,362.3739886303414,6.0,False,False,False,0.9821842682382994,12,6000,1011,1
12,212,12.737816582701125,False,277.9498171562784,5.0,False,False,True,0.7379099047754152,13,6000,1012,1
13,315,10.51863336854149,True,342.63499464868596,0.0,False,False,False,0.9820766062819428,14,6000,1013,1
14,218,11.587081189444438,True,263.2809489395801,0.0,False,False,False,0.9813734256104987,15,6000,1014,1
15,177,10.307078886380978,False,188.30792148820876,17.0,True,True,True,0.3261699585303025,16,6000,1015,1
16,239,12.39990243321861,True,309.08725450204247,0.0,False,False,False,0.988164957729855,17,6000,1016,1
17,264,12.55197153410202,True,344.22545005990764,0.0,False,False,False,0.9853832820287178,18,6000,1017,1
