ckpt_index,env_id,episode,episode_in_env,step_in_episode,mode,filter_applied,obstacle_detected,dynamic_vehicle_detected,step_cost,total_cost,crash,crash_vehicle,crash_object,crash_sidewalk,out_of_road,route_completion,velocity,step_reward,d_obs,d_brake,d_front,d_dynamic,clearance_margin,risk_step,rss_margin,left_feasible,right_feasible,num_static_obstacles,num_dynamic_vehicles,lidar_fallback_used,lidar_fallback_distance,lidar_fallback_source,nearest_object_type,nearest_object_class,nearest_object_distance,nearest_object_longitudinal,nearest_object_lateral,nearest_object_speed,blocking_object_type,blocking_object_class,blocking_object_distance,blocking_object_longitudinal,blocking_object_lateral,blocking_object_speed,selected_score,selected_progress_score,selected_intervention_cost,action_delta,env_action_nominal_steer,env_action_nominal_throttle_brake,env_action_safe_steer,env_action_safe_throttle_brake,internal_action_nominal_acc,internal_action_nominal_steer,internal_action_safe_acc,internal_action_safe_steer,adapter_error
3000,1000,1,1,18,adapter_error,False,False,False,0.0,0.0,False,False,False,False,False,0.03065913270161654,5.338764067909977,0.5279039854247355,,,,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,0.0,-0.05181288719177246,0.9399902820587158,-0.05181288719177246,0.9399902820587158,,,,,'method' object is not subscriptable
3000,1000,1,1,19,adapter_error,False,False,False,0.0,0.0,False,False,False,False,False,0.03236352147217939,5.621214935845055,0.5583736608758535,,,,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,0.0,-0.06819570064544678,0.9335805177688599,-0.06819570064544678,0.9335805177688599,,,,,'method' object is not subscriptable
3000,1000,1,1,20,adapter_error,False,False,False,0.0,0.0,False,False,False,False,False,0.03415994558371698,5.91992000219472,0.5885035392408333,,,,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,0.0,-0.010530591011047363,0.9819787740707397,-0.010530591011047363,0.9819787740707397,,,,,'method' object is not subscriptable
3000,1000,1,1,21,adapter_error,False,False,False,0.0,0.0,False,False,False,False,False,0.03604851785453091,6.218484060896265,0.6186680690211035,,,,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,0.0,0.005666136741638184,0.9815458059310913,0.005666136741638184,0.9815458059310913,,,,,'method' object is not subscriptable
3000,1000,1,1,22,adapter_error,False,False,False,0.0,0.0,False,False,False,False,False,0.03803027194419549,6.516029410834082,0.6491513102051987,,,,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,0.0,-0.0026029348373413086,0.9773248434066772,-0.0026029348373413086,0.9773248434066772,,,,,'method' object is not subscriptable
3000,1000,1,1,23,adapter_error,False,False,False,0.0,0.0,False,False,False,False,False,0.0401068757340887,6.811848730041951,0.6801484441020833,,,,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,0.0,-0.019710063934326172,0.9732344150543213,-0.019710063934326172,0.9732344150543213,,,,,'method' object is not subscriptable
3000,1000,1,1,24,adapter_error,False,False,False,0.0,0.0,False,False,False,False,False,0.042279375080357985,7.106400594438562,0.7114669847428446,,,,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,0.0,-0.03478407859802246,0.9705092906951904,-0.03478407859802246,0.9705092906951904,,,,,'method' object is not subscriptable
3000,1000,1,1,25,adapter_error,False,False,False,0.0,0.0,False,False,False,False,False,0.04454815112591421,7.40044811606236,0.742902465130679,,,,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,0.0,-0.04384732246398926,0.9688616991043091,-0.04384732246398926,0.9688616991043091,,,,,'method' object is not subscriptable
3000,1000,1,1,26,adapter_error,False,False,False,0.0,0.0,False,False,False,False,False,0.046913234362190255,7.694306959555927,0.7743466332100916,,,,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,0.0,-0.04723912477493286,0.9674224853515625,-0.04723912477493286,0.9674224853515625,,,,,'method' object is not subscriptable
3000,1000,1,1,27,adapter_error,False,False,False,0.0,0.0,False,False,False,False,False,0.04937447538116505,7.987818573509283,0.8057425087150691,,,,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,0.0,-0.046939969062805176,0.965518593788147,-0.046939969062805176,0.965518593788147,,,,,'method' object is not subscriptable
