,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,crash_object,crash_building,crash_sidewalk,first_crash_step,first_crash_vehicle_step,first_out_of_road_step,crash_vehicle_steps,out_of_road_steps,route_completion,episode,ckpt_index,env_id,num_ep_in_one_env
38,200,13.200176815729288,False,270.9046586422835,1.0,False,False,True,False,False,False,-1,-1,200,0,1,0.6574988176373677,39,6000,1038,1
39,253,11.935961669451856,True,313.3205152172597,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.983402973193335,40,6000,1039,1
40,155,10.411883387002806,False,167.9893211598753,1.0,False,False,True,False,False,False,-1,-1,155,0,1,0.4865296607246433,41,6000,1040,1
41,127,12.900063572377455,False,168.18676255626377,1.0,True,True,False,False,False,False,127,127,-1,1,0,0.5516667604667826,42,6000,1041,1
42,214,13.089999865127117,True,293.24340500863093,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9857339970374354,43,6000,1042,1
43,157,11.562567886545292,False,187.06584315509383,1.0,True,True,False,False,False,False,157,157,-1,1,0,0.40870663225865306,44,6000,1043,1
44,226,12.292973480193885,True,288.80088100166563,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9830725178996679,45,6000,1044,1
45,105,11.411864481952634,False,122.95182366561687,1.0,True,True,False,False,False,False,105,105,-1,1,0,0.2977784763534428,46,6000,1045,1
46,208,14.333943466260074,False,309.0166643419754,1.0,True,True,False,False,False,False,208,208,-1,1,0,0.5752779986293276,47,6000,1046,1
47,126,10.283643503461981,False,134.45674198544847,1.0,True,True,False,False,False,False,126,126,-1,1,0,0.5773197447761593,48,6000,1047,1
48,169,10.583726282315205,False,186.62190836078267,1.0,True,True,False,False,False,False,169,169,-1,1,0,0.46984353648444505,49,6000,1048,1
49,254,13.132406222258533,True,345.722404234058,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9880235973904798,50,6000,1049,1
0,247,12.34465367739809,True,314.86148402196835,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9845681833375285,1,6200,1000,1
1,164,9.802360920528896,False,167.44189487318638,1.0,True,False,True,False,False,True,164,-1,164,0,1,0.5609659679525734,2,6200,1001,1
2,281,13.60684567795063,True,397.87895777906687,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9885866497256193,3,6200,1002,1
3,338,12.356980948333277,True,432.681993168774,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.991649740741372,4,6200,1003,1
4,199,14.291971292457209,False,294.7037793436712,1.0,True,True,False,False,False,False,199,199,-1,1,0,0.5962135117263817,5,6200,1004,1
5,379,9.454250267791117,True,373.5726507757531,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.984704867619469,6,6200,1005,1
6,306,13.528789405527984,True,428.1081816982436,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9898193019504254,7,6200,1006,1
7,285,12.646426647581722,False,374.61474544470747,1.0,True,True,False,False,False,False,285,285,-1,1,0,0.869304829359196,8,6200,1007,1
8,180,14.352098662183824,False,267.90357465307085,1.0,True,True,False,False,False,False,180,180,-1,1,0,0.7309166969268561,9,6200,1008,1
9,278,12.369500784954322,True,356.7866774456689,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9869796795844099,10,6200,1009,1
10,141,11.026174108582314,False,158.8275603354869,1.0,True,True,False,False,False,False,141,141,-1,1,0,0.4926930386854839,11,6200,1010,1
11,116,9.992410959514832,False,120.0125720925308,1.0,True,True,False,False,False,False,116,116,-1,1,0,0.3421340723271743,12,6200,1011,1
12,101,11.31016279205911,False,117.29367228752997,1.0,True,True,False,False,False,False,101,101,-1,1,0,0.3185719440195106,13,6200,1012,1
13,272,10.76228095311537,False,303.5221540628422,1.0,True,True,False,False,False,False,272,272,-1,1,0,0.8773341604712965,14,6200,1013,1
14,215,11.728746454179314,True,262.2938173162003,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9812188009453879,15,6200,1014,1
15,401,13.639986749652858,True,566.5499321608836,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9914967047608577,16,6200,1015,1
16,235,12.653545669878856,True,309.250202995917,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.9865173872743602,17,6200,1016,1
17,264,12.618335358999964,True,346.29461697555814,0.0,False,False,False,False,False,False,-1,-1,-1,0,0,0.989916980289581,18,6200,1017,1
18,255,14.324631650227097,False,380.5411579220575,1.0,False,False,True,False,False,False,-1,-1,255,0,1,0.8633009046998479,19,6200,1018,1
