ckpt_index,method,env_id,episode,episode_in_env,step,mode,reason,rss_margin,rss_margin_current,rss_margin_min_pred,rss_margin_final_pred,rss_lateral_clearance_min_pred,rss_lateral_clearance_final_pred,predicted_progress,mpc_success,mpc_num_candidates,mpc_num_feasible,mpc_best_cost,fallback_used,cbf_mode,cbf_reason,cbf_action_delta,cbf_acc_safe,cbf_steer_safe,cbf_reference_mode,cbf_reference_action_delta,cbf_reference_acc_safe,cbf_reference_steer_safe,cbf_guard_used,cbf_guard_delta,selective_mpc_enabled,mpc_called,mpc_call_reason,deadlock_risk,deadlock_score,deadlock_counter,deadlock_window_progress,deadlock_window_avg_speed,deadlock_cbf_active_ratio,deadlock_reason,terminal_recoverable,terminal_recovery_reason,recovery_progress,recovery_margin_improvement,blocking_object_final,minimum_risk_stop_used,dynamic_vehicle_detected,action_delta,acc_nominal,acc_safe,acc_delta,steer_nominal,steer_safe,steer_delta,step_cost,cumulative_cost,crash,crash_vehicle,crash_object,out_of_road,route_completion,velocity,filter_applied,object_kind,d_front,rss_distance,env_action_nominal_steer,env_action_nominal_throttle_brake,env_action_safe_steer,env_action_safe_throttle_brake,internal_action_nominal_acc,internal_action_nominal_steer,internal_action_safe_acc,internal_action_safe_steer,adapter_error
6000,ppl_rss_mpc,1035,1,1,1,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9793081283569336,0.3136148452758789,normal,0.0,1.9793081283569336,0.3136148452758789,False,0.0,True,False,,False,0.0,0,0.0,0.0,0.0,insufficient_deadlock_window,False,,,,False,False,False,0.0,1.9793081283569336,1.9793081283569336,0.0,0.3136148452758789,0.3136148452758789,0.0,0,0,False,False,False,False,0.013547723068702512,0.2876471585111387,False,none,inf,0.0,0.3136148452758789,0.9896540641784668,0.3136148452758789,0.9896540641784668,1.9793081283569336,0.3136148452758789,1.9793081283569336,0.3136148452758789,
6000,ppl_rss_mpc,1035,1,1,2,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9927053451538086,0.26408982276916504,normal,0.0,1.9927053451538086,0.26408982276916504,False,0.0,True,False,,False,0.0,0,0.0,0.14382357925556935,0.0,insufficient_deadlock_window,False,,,,False,False,False,0.0,1.9927053451538086,1.9927053451538086,0.0,0.26408982276916504,0.26408982276916504,0.0,0,0,False,False,False,False,0.013640852382482811,0.5778953768714908,False,none,inf,0.0,0.26408982276916504,0.9963526725769043,0.26408982276916504,0.9963526725769043,1.9927053451538086,0.26408982276916504,1.9927053451538086,0.26408982276916504,
6000,ppl_rss_mpc,1035,1,1,3,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9923076629638672,0.25580525398254395,normal,0.0,1.9923076629638672,0.25580525398254395,False,0.0,True,False,,False,0.0,0,0.0,0.2885141784608765,0.0,insufficient_deadlock_window,False,,,,False,False,False,0.0,1.9923076629638672,1.9923076629638672,0.0,0.25580525398254395,0.25580525398254395,0.0,0,0,False,False,False,False,0.013811963626505303,0.8677003502563697,False,none,inf,0.0,0.25580525398254395,0.9961538314819336,0.25580525398254395,0.9961538314819336,1.9923076629638672,0.25580525398254395,1.9923076629638672,0.25580525398254395,
6000,ppl_rss_mpc,1035,1,1,4,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9916706085205078,0.24886083602905273,normal,0.0,1.9916706085205078,0.24886083602905273,False,0.0,True,False,,False,0.0,0,0.0,0.4333107214097498,0.0,insufficient_deadlock_window,False,,,,False,False,False,0.0,1.9916706085205078,1.9916706085205078,0.0,0.24886083602905273,0.24886083602905273,0.0,0,0,False,False,False,False,0.014060882618761667,1.1572910410416144,False,none,inf,0.0,0.24886083602905273,0.9958353042602539,0.24886083602905273,0.9958353042602539,1.9916706085205078,0.24886083602905273,1.9916706085205078,0.24886083602905273,
6000,ppl_rss_mpc,1035,1,1,5,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9909677505493164,0.23929917812347412,normal,0.0,1.9909677505493164,0.23929917812347412,False,0.0,True,False,,False,0.0,0,0.0,0.5781067853361227,0.0,insufficient_deadlock_window,False,,,,False,False,False,0.0,1.9909677505493164,1.9909677505493164,0.0,0.23929917812347412,0.23929917812347412,0.0,0,0,False,False,False,False,0.014387565491190553,1.4472035758427622,False,none,inf,0.0,0.23929917812347412,0.9954838752746582,0.23929917812347412,0.9954838752746582,1.9909677505493164,0.23929917812347412,1.9909677505493164,0.23929917812347412,
6000,ppl_rss_mpc,1035,1,1,6,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9901437759399414,0.22676491737365723,normal,0.0,1.9901437759399414,0.22676491737365723,False,0.0,True,False,,False,0.0,0,0.0,0.7229562504205626,0.0,insufficient_deadlock_window,False,,,,False,False,False,0.0,1.9901437759399414,1.9901437759399414,0.0,0.22676491737365723,0.22676491737365723,0.0,0,0,False,False,False,False,0.014792061272801705,1.7374575245493769,False,none,inf,0.0,0.22676491737365723,0.9950718879699707,0.22676491737365723,0.9950718879699707,1.9901437759399414,0.22676491737365723,1.9901437759399414,0.22676491737365723,
6000,ppl_rss_mpc,1035,1,1,7,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.989112377166748,0.2115112543106079,normal,0.0,1.989112377166748,0.2115112543106079,False,0.0,True,False,,False,0.0,0,0.0,0.867885003867536,0.0,insufficient_deadlock_window,False,,,,False,False,False,0.0,1.989112377166748,1.989112377166748,0.0,0.2115112543106079,0.2115112543106079,0.0,0,0,False,False,False,False,0.015274363512409635,2.027998211657739,False,none,inf,0.0,0.2115112543106079,0.994556188583374,0.2115112543106079,0.994556188583374,1.989112377166748,0.2115112543106079,1.989112377166748,0.2115112543106079,
6000,ppl_rss_mpc,1035,1,1,8,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9878127574920654,0.19415009021759033,normal,0.0,1.9878127574920654,0.19415009021759033,False,0.0,True,False,,False,0.0,0,0.0,1.0128991548413113,0.0,insufficient_deadlock_window,False,,,,False,False,False,0.0,1.9878127574920654,1.9878127574920654,0.0,0.19415009021759033,0.19415009021759033,0.0,0,0,False,False,False,False,0.01583442318100459,2.318770543698718,False,none,inf,0.0,0.19415009021759033,0.9939063787460327,0.19415009021759033,0.9939063787460327,1.9878127574920654,0.19415009021759033,1.9878127574920654,0.19415009021759033,
6000,ppl_rss_mpc,1035,1,1,9,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9861927032470703,0.1754211187362671,normal,0.0,1.9861927032470703,0.1754211187362671,False,0.0,True,False,,False,0.0,0,0.0,1.1579959758254676,0.0,insufficient_deadlock_window,False,,,,False,False,False,0.0,1.9861927032470703,1.9861927032470703,0.0,0.1754211187362671,0.1754211187362671,0.0,0,0,False,False,False,False,0.016472169315546147,2.6096767089451047,False,none,inf,0.0,0.1754211187362671,0.9930963516235352,0.1754211187362671,0.9930963516235352,1.9861927032470703,0.1754211187362671,1.9861927032470703,0.1754211187362671,
6000,ppl_rss_mpc,1035,1,1,10,normal,no_front_rss_object,inf,inf,inf,inf,inf,inf,0.0,False,0,0,,False,normal,no_front_rss_object,0.0,1.9841694831848145,0.15526807308197021,normal,0.0,1.9841694831848145,0.15526807308197021,False,0.0,True,False,,False,0.16666666666666666,0,1.0876736640930176,1.3031640491374314,0.0,deadlock_conditions_not_met,False,,,,False,False,False,0.0,1.9841694831848145,1.9841694831848145,0.0,0.15526807308197021,0.15526807308197021,0.0,0,0,False,False,False,False,0.017187524501808382,2.9006164120548097,False,none,inf,0.0,0.15526807308197021,0.9920847415924072,0.15526807308197021,0.9920847415924072,1.9841694831848145,0.15526807308197021,1.9841694831848145,0.15526807308197021,
