ckpt_index,env_id,episode,step,global_step,raw_action_steer,raw_action_throttle,safe_action_steer,safe_action_throttle,action_delta_steer,action_delta_throttle,filter_enabled,filter_intervened,recovery_mode,selected_candidate_type,fallback_reason,cost,step_cost,episode_cost_so_far,crash,crash_vehicle,crash_object,crash_sidewalk,crash_building,crash_human,out_of_road,out_of_route,on_lane,route_completion,velocity,reward,done,done_reason,front_blocking_object_type,front_blocking_object_distance,nearest_object_type,nearest_object_distance,nearest_traffic_object_distance,front_traffic_object_distance,min_vehicle_margin,min_static_margin,min_boundary_margin,rss_longitudinal_margin,rss_lateral_margin,rss_risk_score,contact_results,actual_action_modified,hard_risk,hard_risk_reason,low_risk_gate_passed,low_risk_gate_rejected_reason,safety_hold_active,safety_hold_remaining,recent_contact_steps,nearest_static_object_type,nearest_static_object_distance,nearest_static_forward_distance,nearest_static_lateral_gap,front_static_blocking_distance,static_distance_immediate_risk,deadlock_escape_candidate,ttc_vehicle_min,ttc_static_min,boundary_closing_rate,pre_contact_intervention,post_contact_intervention,first_risk_detected_step,risk_to_intervention_delay,intervention_to_first_cost_delay,raw_predicted_collision,raw_predicted_out_of_road,raw_predicted_cost_risk,raw_min_vehicle_margin,raw_min_static_margin,raw_min_boundary_margin,raw_deadlock_risk,raw_failure_reason,allow_intervention,intervention_reason,intervention_rejected_reason,candidate_predicted_collision,candidate_predicted_out_of_road,candidate_predicted_cost_risk,candidate_min_vehicle_margin,candidate_min_static_margin,candidate_min_boundary_margin,vehicle_margin_worse,intervention_score_gain,exception_type,exception_message,exception_traceback,event_type,window_relative_step,is_first_cost_event
6000,1004,1,234,234,-0.9964102506637573,-0.9354484677314758,0.44999998807907104,-0.25,1.4464101791381836,0.6854484677314758,True,True,ultra_short_horizon_emergency,ultra_short_boundary_recovery,contact_road_line_solid_detected,0,0,0,False,False,False,False,False,False,False,False,True,0.49599395148354425,0.07636262104405785,0.0,False,max_steps,,inf,,inf,inf,inf,inf,inf,inf,inf,inf,0.0,{'ROAD_LINE_SOLID_SINGLE_YELLOW'},True,True,contact_road_line_solid_detected,False,,True,8,5,,inf,0,0,0,0,0,inf,inf,0.0,True,False,55,0,,False,False,0.0,inf,inf,inf,0.0,0,True,contact_road_line_solid_detected,,False,False,0.0,inf,inf,inf,False,0.0,,,,cost_window,-20,False
6000,1004,1,235,235,-0.9966394901275635,-0.9416503310203552,0.44999998807907104,-0.25,1.4466395378112793,0.6916503310203552,True,True,ultra_short_horizon_emergency,ultra_short_boundary_recovery,contact_road_line_solid_detected,0,0,0,False,False,False,False,False,False,False,False,True,0.4959941618133692,0.011989364010072053,0.0,False,max_steps,,inf,,inf,inf,inf,inf,inf,inf,inf,inf,0.0,{'ROAD_LINE_SOLID_SINGLE_YELLOW'},True,True,contact_road_line_solid_detected,False,,True,8,5,,inf,0,0,0,0,0,inf,inf,0.0,True,False,55,0,,False,False,0.0,inf,inf,inf,0.0,0,True,contact_road_line_solid_detected,,False,False,0.0,inf,inf,inf,False,0.0,,,,cost_window,-19,False
6000,1004,1,236,236,-0.9962707161903381,-0.9298093914985657,0.44999998807907104,0.18000000715255737,1.4462707042694092,1.109809398651123,True,True,ultra_short_horizon_emergency,ultra_short_boundary_recovery,contact_road_line_solid_detected,0,0,0,False,False,False,False,False,False,False,False,True,0.49599603843106926,0.05790601355828953,0.0,False,max_steps,,inf,,inf,inf,inf,inf,inf,inf,inf,inf,0.0,{'ROAD_LINE_SOLID_SINGLE_YELLOW'},True,True,contact_road_line_solid_detected,False,,True,8,5,,inf,0,0,0,0,0,inf,inf,0.0,True,False,55,0,,False,False,0.0,inf,inf,inf,0.0,0,True,contact_road_line_solid_detected,,False,False,0.0,inf,inf,inf,False,0.0,,,,cost_window,-18,False
6000,1004,1,237,237,-0.9972890019416809,-0.9484809041023254,0.44999998807907104,0.18000000715255737,1.447288990020752,1.1284809112548828,True,True,ultra_short_horizon_emergency,ultra_short_boundary_recovery,contact_road_line_solid_detected,0,0,0,False,False,False,False,False,False,False,False,True,0.49599614301851686,0.11084345059525695,0.0,False,max_steps,,inf,,inf,inf,inf,inf,inf,inf,inf,inf,0.0,{'ROAD_LINE_SOLID_SINGLE_YELLOW'},True,True,contact_road_line_solid_detected,False,,True,8,5,,inf,0,0,0,0,0,inf,inf,0.0,True,False,55,0,,False,False,0.0,inf,inf,inf,0.0,0,True,contact_road_line_solid_detected,,False,False,0.0,inf,inf,inf,False,0.0,,,,cost_window,-17,False
6000,1004,1,238,238,-0.9972936511039734,-0.9489110708236694,0.44999998807907104,0.18000000715255737,1.4472936391830444,1.128911018371582,True,True,ultra_short_horizon_emergency,ultra_short_boundary_recovery,contact_road_line_solid_detected,0,0,0,False,False,False,False,False,False,False,False,True,0.4959954299271027,0.1632130152647472,0.0,False,max_steps,,inf,,inf,inf,inf,inf,inf,inf,inf,inf,0.0,{'ROAD_LINE_SOLID_SINGLE_YELLOW'},True,True,contact_road_line_solid_detected,False,,True,8,5,,inf,0,0,0,0,0,inf,inf,0.0,True,False,55,0,,False,False,0.0,inf,inf,inf,0.0,0,True,contact_road_line_solid_detected,,False,False,0.0,inf,inf,inf,False,0.0,,,,cost_window,-16,False
6000,1004,1,239,239,-0.9973152279853821,-0.9499833583831787,0.44999998807907104,0.18000000715255737,1.4473152160644531,1.1299834251403809,True,True,ultra_short_horizon_emergency,ultra_short_boundary_recovery,contact_road_line_solid_detected,0,0,0,False,False,False,False,False,False,False,False,True,0.49599434691398897,0.21519148869969404,0.0,False,max_steps,,inf,,inf,inf,inf,inf,inf,inf,inf,inf,0.0,{'ROAD_LINE_SOLID_SINGLE_YELLOW'},True,True,contact_road_line_solid_detected,False,,True,8,5,,inf,0,0,0,0,0,inf,inf,0.0,True,False,55,0,,False,False,0.0,inf,inf,inf,0.0,0,True,contact_road_line_solid_detected,,False,False,0.0,inf,inf,inf,False,0.0,,,,cost_window,-15,False
6000,1004,1,240,240,-0.997327446937561,-0.9506320953369141,0.44999998807907104,0.18000000715255737,1.4473273754119873,1.1306321620941162,True,True,ultra_short_horizon_emergency,ultra_short_boundary_recovery,contact_road_line_solid_detected,0,0,0,False,False,False,False,False,False,False,False,True,0.4959929012406561,0.26702834796446734,0.0,False,max_steps,,inf,,inf,inf,inf,inf,inf,inf,inf,inf,0.0,{'ROAD_LINE_SOLID_SINGLE_YELLOW'},True,True,contact_road_line_solid_detected,False,,True,8,5,,inf,0,0,0,0,0,inf,inf,0.0,True,False,55,0,,False,False,0.0,inf,inf,inf,0.0,0,True,contact_road_line_solid_detected,,False,False,0.0,inf,inf,inf,False,0.0,,,,cost_window,-14,False
6000,1004,1,241,241,-0.9971265196800232,-0.9413389563560486,0.44999998807907104,0.18000000715255737,1.4471265077590942,1.121338963508606,True,True,ultra_short_horizon_emergency,ultra_short_boundary_recovery,contact_road_line_solid_detected,0,0,0,False,False,False,False,False,False,False,False,True,0.49599088113099077,0.31884003307730724,0.0,False,max_steps,,inf,,inf,inf,inf,inf,inf,inf,inf,inf,0.0,{'ROAD_LINE_SOLID_SINGLE_YELLOW'},True,True,contact_road_line_solid_detected,False,,True,8,5,,inf,0,0,0,0,0,inf,inf,0.0,True,False,55,0,,False,False,0.0,inf,inf,inf,0.0,0,True,contact_road_line_solid_detected,,False,False,0.0,inf,inf,inf,False,0.0,,,,cost_window,-13,False
6000,1004,1,242,242,-0.9971417188644409,-0.9420831203460693,0.44999998807907104,0.18000000715255737,1.4471416473388672,1.1220831871032715,True,True,ultra_short_horizon_emergency,ultra_short_boundary_recovery,contact_road_line_solid_detected,0,0,0,False,False,False,False,False,False,False,False,True,0.4959881363536951,0.3706641015514057,0.0,False,max_steps,,inf,,inf,inf,inf,inf,inf,inf,inf,inf,0.0,{'ROAD_LINE_SOLID_SINGLE_YELLOW'},True,True,contact_road_line_solid_detected,False,,True,8,5,,inf,0,0,0,0,0,inf,inf,0.0,True,False,55,0,,False,False,0.0,inf,inf,inf,0.0,0,True,contact_road_line_solid_detected,,False,False,0.0,inf,inf,inf,False,0.0,,,,cost_window,-12,False
6000,1004,1,243,243,-0.9971631765365601,-0.943060040473938,0.44999998807907104,0.18000000715255737,1.4471631050109863,1.1230599880218506,True,True,ultra_short_horizon_emergency,ultra_short_boundary_recovery,contact_road_line_solid_detected,0,0,0,False,False,False,False,False,False,False,False,True,0.4959847037324105,0.4224675407943569,0.0,False,max_steps,,inf,,inf,inf,inf,inf,inf,inf,inf,inf,0.0,{'ROAD_LINE_SOLID_SINGLE_YELLOW'},True,True,contact_road_line_solid_detected,False,,True,8,5,,inf,0,0,0,0,0,inf,inf,0.0,True,False,55,0,,False,False,0.0,inf,inf,inf,0.0,0,True,contact_road_line_solid_detected,,False,False,0.0,inf,inf,inf,False,0.0,,,,cost_window,-11,False
