ckpt_index,env_id,episode,episode_in_env,step_in_episode,mode,filter_applied,obstacle_detected,dynamic_vehicle_detected,step_cost,total_cost,crash,crash_vehicle,crash_object,crash_sidewalk,out_of_road,route_completion,velocity,step_reward,d_obs,d_brake,d_front,d_dynamic,clearance_margin,risk_step,rss_margin,left_feasible,right_feasible,num_static_obstacles,num_dynamic_vehicles,lidar_fallback_used,lidar_fallback_distance,lidar_fallback_source,nearest_object_type,nearest_object_class,nearest_object_distance,nearest_object_longitudinal,nearest_object_lateral,nearest_object_speed,blocking_object_type,blocking_object_class,blocking_object_distance,blocking_object_longitudinal,blocking_object_lateral,blocking_object_speed,selected_score,selected_progress_score,selected_intervention_cost,action_delta,env_action_nominal_steer,env_action_nominal_throttle_brake,env_action_safe_steer,env_action_safe_throttle_brake,internal_action_nominal_acc,internal_action_nominal_steer,internal_action_safe_acc,internal_action_safe_steer,adapter_error
3000,1000,1,1,1,clearance_stop,True,True,False,0,0,False,False,False,False,False,0.015988753015166043,0.07865235209465188,0.0011235507577657773,,,,,-0.30050556243950943,1,-0.30050556243950943,False,False,10,0,False,,,vehicle,PGMap,5.0,-5.0,0.0,0.0,vehicle,PGMap,5.0,-5.0,0.0,0.0,-0.4821154427388052,0.0,48.21154427388052,1.9892500638961792,0.28441405296325684,0.9688129425048828,0.0,-1.0,1.9376258850097656,0.28441405296325684,-5.0,0.0,
3000,1000,1,1,2,clearance_stop,True,True,False,0,0,False,False,False,False,False,0.015988698130586877,0.28650569915777274,0.001272109508514665,,,,,-0.29923038482666,0,-0.29923038482666,False,False,10,0,False,,,vehicle,PGMap,5.00076961517334,-5.00076961517334,-5.0768327042316486e-11,0.0,vehicle,PGMap,5.00076961517334,-5.00076961517334,-5.0768327042316486e-11,0.0,-0.44960056689995836,0.007865235209465027,45.74658021094234,1.9071009159088135,0.33361172676086426,0.8776946067810059,0.0,-1.0,1.7553892135620117,0.33361172676086426,-5.0,0.0,
3000,1000,1,1,3,clearance_stop,True,True,False,0,0,False,False,False,False,False,0.01599084320288928,0.13440252840521397,0.0012757212594152597,,,,,-0.29924755096506583,0,-0.29924755096506583,False,False,10,0,False,,,vehicle,PGMap,5.0007524490356445,-5.000752449034934,2.6649656608920733e-06,0.0,vehicle,PGMap,5.0007524490356445,-5.000752449034934,2.6649656608920733e-06,0.0,-0.42683102266615497,0.028650569915777146,45.54815925819321,1.8999953269958496,0.33448171615600586,0.8703219890594482,0.0,-1.0,1.7406439781188965,0.33448171615600586,-5.0,0.0,
3000,1000,1,1,4,clearance_stop,True,True,False,0,0,False,False,False,False,False,0.01595858021776956,0.22738650441171615,-0.009067588672041809,,,,,-0.2985766410838746,0,-0.2985766410838746,False,False,10,0,False,,,vehicle,PGMap,5.001423358917236,-5.001423358916125,3.3339039223898228e-06,0.0,vehicle,PGMap,5.001423358917236,-5.001423358916125,3.3339039223898228e-06,0.0,-0.44349819770385673,0.013440252840521397,45.693845054437816,1.9052138328552246,0.3338437080383301,0.8757367134094238,0.0,-1.0,1.7514734268188477,0.3338437080383301,-5.0,0.0,
3000,1000,1,1,5,clearance_stop,True,True,False,0,0,False,False,False,False,False,0.01594468527181071,0.10209605842829594,-0.0038864615969359494,,,,,-0.3086674690247042,0,-0.3086674690247042,False,False,10,0,False,,,vehicle,PGMap,4.991332530975342,-4.991332530975296,6.759596075350018e-07,0.0,vehicle,PGMap,4.991332530975342,-4.991332530975296,6.759596075350018e-07,0.0,-0.4333318452607168,0.022738650441171716,45.60704957018885,1.902111291885376,0.3342607021331787,0.8725109100341797,0.0,-1.0,1.7450218200683594,0.3342607021331787,-5.0,0.0,
3000,1000,1,1,6,clearance_stop,True,True,False,0,0,False,False,False,False,False,0.015915137548788063,0.22047801315785906,-0.0082494299039244,,,,,-0.31301336288492454,0,-0.31301336288492454,False,False,10,0,False,,,vehicle,PGMap,4.9869866371154785,-4.986986637115075,2.0059733063880617e-06,0.0,vehicle,PGMap,4.9869866371154785,-4.986986637115075,2.0059733063880617e-06,0.0,-0.4470608489648795,0.010209605842829742,45.727045480770926,1.9064093828201294,0.33374667167663574,0.876968264579773,0.0,-1.0,1.753936529159546,0.33374667167663574,-5.0,0.0,
3000,1000,1,1,7,clearance_stop,True,True,False,0,0,False,False,False,False,False,0.01590947681427575,0.10777115821838379,-0.001285526156425476,,,,,-0.32225494384770315,0,-0.32225494384770315,False,False,10,0,False,,,vehicle,PGMap,4.977745056152344,-4.977745056152297,6.809450150795816e-07,0.0,vehicle,PGMap,4.977745056152344,-4.977745056152297,6.809450150795816e-07,0.0,-0.4341173668055911,0.022047801315786073,45.61651681213772,1.9024577140808105,0.33426737785339355,0.8728616237640381,0.0,-1.0,1.7457232475280762,0.33426737785339355,-5.0,0.0,
3000,1000,1,1,8,clearance_stop,True,True,False,0,0,False,False,False,False,False,0.015879140887713413,0.2328020632266999,-0.008440496489405631,,,,,-0.32402544021624546,0,-0.32402544021624546,False,False,10,0,False,,,vehicle,PGMap,4.9759745597839355,-4.975974559783754,1.3464005404834915e-06,0.0,vehicle,PGMap,4.9759745597839355,-4.975974559783754,1.3464005404834915e-06,0.0,-0.4464607500887498,0.010777115821838762,45.723786591058854,1.9062986373901367,0.3338000774383545,0.8768463134765625,0.0,-1.0,1.753692626953125,0.3338000774383545,-5.0,0.0,
3000,1000,1,1,9,clearance_stop,True,True,False,0,0,False,False,False,False,False,0.015870208422454155,0.11094785481696302,-0.002294523563235776,,,,,-0.333513545990038,0,-0.333513545990038,False,False,10,0,False,,,vehicle,PGMap,4.96648645401001,-4.966486454009962,6.853141340420727e-07,0.0,vehicle,PGMap,4.96648645401001,-4.966486454009962,6.853141340420727e-07,0.0,-0.43278650586324724,0.02328020632267001,45.60667121859173,1.9021108150482178,0.33434903621673584,0.8724946975708008,0.0,-1.0,1.7449893951416016,0.33434903621673584,-5.0,0.0,
3000,1000,1,1,10,clearance_stop,True,True,False,0,0,False,False,False,False,False,0.015838404333399128,0.240577757358591,-0.008864700049161732,,,,,-0.3363073349003072,0,-0.3363073349003072,False,False,10,0,False,,,vehicle,PGMap,4.963692665100098,-4.963692665099693,2.0044041887210865e-06,0.0,vehicle,PGMap,4.963692665100098,-4.963692665099693,2.0044041887210865e-06,0.0,-0.4461348865937925,0.011094785481696508,45.722967207548905,1.906275749206543,0.33384621143341064,0.8768148422241211,0.0,-1.0,1.7536296844482422,0.33384621143341064,-5.0,0.0,
