ckpt_index,env_id,episode,episode_in_env,step_in_episode,mode,filter_applied,obstacle_detected,dynamic_vehicle_detected,step_cost,total_cost,crash,crash_vehicle,crash_object,crash_sidewalk,out_of_road,route_completion,velocity,step_reward,d_obs,d_brake,d_front,d_dynamic,clearance_margin,risk_step,rss_margin,left_feasible,right_feasible,num_static_obstacles,num_dynamic_vehicles,lidar_fallback_used,lidar_fallback_distance,lidar_fallback_source,nearest_object_type,nearest_object_class,nearest_object_distance,nearest_object_longitudinal,nearest_object_lateral,nearest_object_speed,blocking_object_type,blocking_object_class,blocking_object_distance,blocking_object_longitudinal,blocking_object_lateral,blocking_object_speed,selected_score,selected_progress_score,selected_intervention_cost,action_delta,env_action_nominal_steer,env_action_nominal_throttle_brake,env_action_safe_steer,env_action_safe_throttle_brake,internal_action_nominal_acc,internal_action_nominal_steer,internal_action_safe_acc,internal_action_safe_steer,adapter_error,reason,blocking_object_x,blocking_object_y,candidate_count,safe_candidate_count,stop_candidate_safe,stop_h_stop_min,stop_projection_failed,left_candidate_safe,left_projection_failed,right_candidate_safe,right_projection_failed
3000,1000,1,1,1,clearance_stop,True,True,False,0.0,0.0,False,False,False,False,False,0.016008706608836153,0.29303793729567545,0.008329130617732883,,,,,-0.30050556243950943,1.0,-0.30050556243950943,False,False,10,0,False,,,vehicle,PGMap,5.0,-5.0,0.0,0.0,vehicle,PGMap,5.0,-5.0,0.0,0.0,-0.4821154427388052,0.0,48.21154427388052,1.9892500638961792,0.28441405296325684,0.9688129425048828,0.0,-1.0,1.9376258850097656,0.28441405296325684,-5.0,0.0,,,,,,,,,,,,,
3000,1000,1,1,2,clearance_stop,True,True,False,0.0,0.0,False,False,False,False,False,0.016120916606369304,0.5910006697006379,0.037755194694561074,,,,,-0.29298968472795384,0.0,-0.29298968472795384,False,False,10,0,False,,,vehicle,PGMap,5.007010501657297,-5.007010315272046,0.0013661865856724738,0.0,vehicle,PGMap,5.007010501657297,-5.007010315272046,0.0013661865856724738,0.0,-0.4590656060761133,0.029303793729567765,48.836939980568104,2.0161380767822266,0.3205404281616211,0.9904940128326416,0.0,-1.0,1.9809880256652832,0.3205404281616211,-5.0,0.0,,,,,,,,,,,,,
3000,1000,1,1,3,clearance_stop,True,True,False,0.0,0.0,False,False,False,False,False,0.01632725365717207,0.8883289169866843,0.06853309795480922,,,,,-0.25790162196037514,0.0,-0.25790162196037514,False,False,10,0,False,,,vehicle,PGMap,5.042107945975507,-5.042098378039625,0.009822679854816857,0.0,vehicle,PGMap,5.042107945975507,-5.042098378039625,0.009822679854816857,0.0,-0.42017145794755184,0.06820013394012775,48.837159188767956,2.017117977142334,0.3275963068008423,0.9903380870819092,0.0,-1.0,1.9806761741638184,0.3275963068008423,-5.0,0.0,,,,,,,,,,,,,
3000,1000,1,1,4,clearance_stop,True,True,False,0.0,0.0,False,False,False,False,False,0.016627255816036465,1.1854909584946718,0.09916577163012055,,,,,-0.19341479449788057,0.0,-0.19341479449788057,False,False,10,0,False,,,vehicle,PGMap,5.106656801701446,-5.106585205502119,0.027041252014524085,0.0,vehicle,PGMap,5.106656801701446,-5.106585205502119,0.027041252014524085,0.0,-0.3605847295792744,0.1276657833973368,48.82505129766112,2.016274929046631,0.32460224628448486,0.9899743795394897,0.0,-1.0,1.9799487590789795,0.32460224628448486,-5.0,0.0,,,,,,,,,,,,,
3000,1000,1,1,5,clearance_stop,True,True,False,0.0,0.0,False,False,False,False,False,0.017020913935532636,1.4832959724916146,0.12979847765868296,,,,,-0.09975138040715059,0.0,-0.09975138040715059,False,False,10,0,False,,,vehicle,PGMap,5.200536553993825,-5.200248619592849,0.05472425283757787,0.0,vehicle,PGMap,5.200536553993825,-5.200248619592849,0.05472425283757787,0.0,-0.28243968596867386,0.20564728754840125,48.80869735170751,2.0144400596618652,0.3153722286224365,0.9896001815795898,0.0,-1.0,1.9792003631591797,0.3153722286224365,-5.0,0.0,,,,,,,,,,,,,
3000,1000,1,1,6,normal,False,False,False,0.0,0.0,False,False,False,False,False,0.017508363702536847,1.7817479594347365,0.16047653357258326,,,,,,,,False,False,10,0,False,,,vehicle,PGMap,5.323780578551286,-5.3229500370786775,0.09403484101108137,0.0,,,,,,,,,,0.0,0.3015631437301636,0.9891250133514404,0.3015631437301636,0.9891250133514404,1.9782500267028809,0.3015631437301636,1.9782500267028809,0.3015631437301636,,,,,,,,,,,,,
3000,1000,1,1,7,normal,False,False,False,0.0,0.0,False,False,False,False,False,0.01808957462561623,2.0807566236749993,0.19114755779115664,,,,,,,,False,False,10,0,False,,,vehicle,PGMap,5.476478549293002,-5.474570344664885,0.1445574009941735,0.0,,,,,,,,,,0.0,0.2839028835296631,0.9884552955627441,0.2839028835296631,0.9884552955627441,1.9769105911254883,0.2839028835296631,1.9769105911254883,0.2839028835296631,,,,,,,,,,,,,
3000,1000,1,1,8,normal,False,False,False,0.0,0.0,False,False,False,False,False,0.01876443083732588,2.3803407421249223,0.22178493192965004,,,,,,,,False,False,10,0,False,,,vehicle,PGMap,5.658681859838216,-5.654943887706667,0.20564536890262258,0.0,,,,,,,,,,0.0,0.2621641159057617,0.9875681400299072,0.2621641159057617,0.9875681400299072,1.9751362800598145,0.2621641159057617,1.9751362800598145,0.2621641159057617,,,,,,,,,,,,,
3000,1000,1,1,9,normal,False,False,False,0.0,0.0,False,False,False,False,False,0.019532851535368694,2.6804663280651235,0.25239947030246496,,,,,,,,False,False,10,0,False,,,vehicle,PGMap,5.870429513783416,-5.863914887012754,0.27648666182944526,0.0,,,,,,,,,,0.0,0.23626041412353516,0.9864099025726318,0.23626041412353516,0.9864099025726318,1.9728198051452637,0.23626041412353516,1.9728198051452637,0.23626041412353516,,,,,,,,,,,,,
3000,1000,1,1,10,normal,False,False,False,0.0,0.0,False,False,False,False,False,0.020394798605453582,2.980863096700634,0.28300330806845364,,,,,,,,False,False,10,0,False,,,vehicle,PGMap,6.111782041403732,-6.101424973034664,0.3556585723051008,0.0,,,,,,,,,,0.0,0.20785057544708252,0.9849159717559814,0.20785057544708252,0.9849159717559814,1.969831943511963,0.20785057544708252,1.969831943511963,0.20785057544708252,,,,,,,,,,,,,
