ckpt_index,success_rate,crash_rate,crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.54,0.08,4,0.46,23,276.81041003940425,227.36,11.540835656988106,5.18,0.7695739088818213,50
6200,0.6,0.04,2,0.4,20,309.7782783857935,249.74,11.845613447821972,4.72,0.841343284362733,50
6400,0.68,0.02,1,0.32,16,321.7929153533293,260.58,11.834515451982943,4.42,0.8698357921931058,50
6600,0.64,0.06,3,0.36,18,319.942006631519,253.74,12.000037292787496,3.22,0.8586072923528738,50
6800,0.7,0.02,1,0.3,15,320.1599715161574,258.8,11.802040692977005,4.48,0.8652086794190654,50
7000,0.76,0.06,3,0.24,12,326.6969524052124,265.28,11.823907713578915,4.74,0.8846376677658309,50
7200,0.72,0.02,1,0.28,14,317.51228835531816,261.32,11.6335637491437,3.72,0.867344163056229,50
7400,0.66,0.02,1,0.34,17,316.91686243235796,257.08,11.839582957631903,3.92,0.8653910300290883,50
7600,0.7,0.0,0,0.3,15,323.9934260799579,262.0,11.837288249556007,3.94,0.8750584102124228,50
7800,0.66,0.12,6,0.34,17,314.3865983720653,256.36,11.729302725121995,4.14,0.8648722954124315,50
8000,0.72,0.02,1,0.28,14,332.00471533454095,271.62,11.702946660334176,4.3,0.8901518086041239,50
8200,0.76,0.0,0,0.24,12,333.1149735882998,270.94,11.830399555368194,4.58,0.8976873370814714,50
8400,0.8,0.04,2,0.2,10,342.18049859974894,278.74,11.78796110607269,4.18,0.920789090519508,50
8600,0.64,0.06,3,0.36,18,315.0237665487345,254.78,11.83984206430664,4.94,0.8517324511062276,50
8800,0.7,0.08,4,0.3,15,327.76239172451693,265.88,11.81144968980288,3.58,0.8893448096061403,50
9000,0.68,0.1,5,0.32,16,325.5790333610745,268.44,11.664849472902915,7.82,0.8785618032586955,50
9200,0.66,0.06,3,0.34,17,326.81475581591616,265.3,11.72933059591344,4.0,0.8783896013899698,50
9400,0.72,0.02,1,0.28,14,325.87448583108835,268.36,11.67445828343992,4.7,0.8831903658707099,50
9600,0.64,0.06,3,0.36,18,319.09336912365546,257.12,11.849915820976499,4.26,0.8583994376274541,50
9800,0.72,0.02,1,0.28,14,324.82920030831633,266.54,11.626962512974986,5.74,0.8720114990819258,50
10000,0.74,0.06,3,0.26,13,332.6305751769052,272.3,11.728425830216308,3.42,0.8964458590387987,50
