ckpt_index,success_rate,crash_rate,crash_count,vehicle_crash_rate,vehicle_crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,avg_rss_attack_steps,avg_rss_front_attack_steps,avg_rss_lateral_attack_steps,avg_rss_uncertainty_steps,avg_rss_front_uncertainty_steps,avg_rss_lateral_uncertainty_steps,avg_rss_attack_delta,avg_rss_lateral_attack_delta,avg_rss_front_distance_noise,avg_rss_lateral_gap_noise,avg_rss_front_distance_raw,avg_rss_front_distance_attacked,avg_rss_front_distance_noisy,avg_rss_front_distance_used,avg_rss_lateral_gap_raw,avg_rss_lateral_gap_attacked,avg_rss_lateral_gap_noisy,avg_rss_lateral_gap_used,num_episodes
6000,0.94,0.06,3,0.06,3,0.0,0,359.7279345340454,439.4,7.990683195808059,0.06,0.9655393000756277,0.0,0.0,0.0,265.62,259.66,14.16,0.0,0.0,-0.031082869287177593,-0.022502891682046958,45.196095573298344,45.196095573298344,45.16525495950755,45.16525495950755,1.3247875442838828,1.3247875442838828,1.3143064726731446,1.3143064726731446,50
6200,0.92,0.08,4,0.06,3,0.02,1,356.4002036213718,432.32,8.04308345103828,0.08,0.9587369447374628,0.0,0.0,0.0,266.22,263.08,12.16,0.0,0.0,-0.017070843372399534,0.007942164862032312,45.56412429022408,45.56412429022408,45.54715477801885,45.54715477801885,1.411898312109969,1.411898312109969,1.4272557091789246,1.4272557091789246,50
6400,0.94,0.06,3,0.06,3,0.0,0,362.33339468366387,440.14,8.063067362277895,0.06,0.9704654334500876,0.0,0.0,0.0,275.86,270.96,14.62,0.0,0.0,0.03612302366924159,-0.013297832006969372,43.667936712651354,43.667936712651354,43.70405973632059,43.70405973632059,1.363528034660423,1.363528034660423,1.3592748130550285,1.3592748130550285,50
6600,0.94,0.06,3,0.06,3,0.0,0,360.1854726207214,435.7,8.069832410110788,0.06,0.9656575638878061,0.0,0.0,0.0,271.16,267.7,11.9,0.0,0.0,0.012345376167370175,-0.019204658773683988,45.162140701034005,45.162140701034005,45.17453335753864,45.17453335753864,1.4747481685602903,1.4747481685602903,1.4600118251514866,1.4600118251514866,50
6800,0.94,0.06,3,0.06,3,0.0,0,359.8978858244786,439.72,8.004528323610481,0.06,0.9653093086550839,0.0,0.0,0.0,273.34,268.9,15.04,0.0,0.0,0.01025633459528725,0.01482120790702063,45.12970375132522,45.12970375132522,45.13998241119565,45.13998241119565,1.548275810096947,1.548275810096947,1.5711836625990767,1.5711836625990767,50
7000,0.96,0.04,2,0.04,2,0.0,0,363.61235409836735,438.02,8.127809026413495,0.04,0.9731040316021357,0.0,0.0,0.0,269.3,264.82,15.36,0.0,0.0,0.017687936346151942,0.020185680988607225,43.94669924375349,43.94669924375349,43.9648695752081,43.9648695752081,1.29022014821349,1.29022014821349,1.3179479944804775,1.3179479944804775,50
7200,0.96,0.04,2,0.04,2,0.0,0,364.01567445424985,442.18,8.058853251056448,0.04,0.9736371371867953,0.0,0.0,0.0,280.08,273.98,16.78,0.0,0.0,0.0023404341310782964,0.0243820516051936,43.48052674207878,43.48052674207878,43.48295932891485,43.48295932891485,1.4529416313582248,1.4529416313582248,1.4843972645887422,1.4843972645887422,50
7400,0.92,0.08,4,0.08,4,0.0,0,359.2323827713555,435.04,8.06142501572166,0.08,0.9635093011236266,0.0,0.0,0.0,269.34,265.38,13.58,0.0,0.0,0.012856930728144535,-0.00962080613331225,44.53596460155418,44.53596460155418,44.548829823524535,44.548829823524535,1.411348906098019,1.411348906098019,1.4121273838032515,1.4121273838032515,50
7600,0.94,0.06,3,0.06,3,0.0,0,360.3603182690752,436.22,8.074351484919262,0.06,0.9659130477350396,0.0,0.0,0.0,271.68,267.76,14.42,0.0,0.0,0.025185248990908553,-0.026528412168827155,43.82935918501168,43.82935918501168,43.85462884183712,43.85462884183712,1.4896407793501234,1.4896407793501234,1.4693395112168388,1.4693395112168388,50
