,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,rss_unsafe_steps,rss_longitudinal_unsafe_steps,rss_lateral_unsafe_steps,rss_shield_steps,rss_longitudinal_shield_steps,rss_lateral_shield_steps,rss_first_unsafe_step,rss_first_longitudinal_unsafe_step,rss_first_lateral_unsafe_step,rss_first_shield_step,rss_first_lateral_shield_step,episode,ckpt_index,env_id,num_ep_in_one_env
28,214,10.482501255074926,True,233.5570212895006,0.0,False,False,False,0.9779032028763067,17,17,0,17,17,0,78,78,-1,79,-1,29,6600,1028,1
29,249,10.44620499281756,True,271.6504787568954,0.0,False,False,False,0.9820427796356921,17,0,17,17,0,17,169,-1,169,170,170,30,6600,1029,1
30,280,10.652441491083284,True,311.95920868410184,0.0,False,False,False,0.9853906330292242,8,0,8,8,0,8,233,-1,233,234,234,31,6600,1030,1
31,517,8.674401190103955,True,463.8579624516099,0.0,False,False,False,0.9908284811604878,92,4,88,92,4,88,91,442,91,92,92,32,6600,1031,1
32,346,7.92988584659936,True,286.16380565728986,0.0,False,False,False,0.9810445630735964,73,0,73,73,0,73,117,-1,117,118,118,33,6600,1032,1
33,346,10.487148637760255,True,376.03061379981466,0.0,False,False,False,0.9888664926333647,39,39,0,39,39,0,101,101,-1,102,-1,34,6600,1033,1
34,768,6.761678106194341,True,537.0817306081846,0.0,False,False,False,0.9904213350462207,182,24,158,182,24,158,69,166,69,70,70,35,6600,1034,1
35,398,9.215999687538297,True,380.7693758894099,0.0,False,False,False,0.9865964399616757,42,42,0,42,42,0,82,82,-1,83,-1,36,6600,1035,1
36,364,7.253529780528402,True,273.756909095418,0.0,False,False,False,0.9813766122952968,50,36,14,50,36,14,37,37,135,38,136,37,6600,1036,1
37,326,10.197849515048382,True,345.67083696843014,0.0,False,False,False,0.9867828775916246,32,12,20,32,12,20,162,162,228,163,229,38,6600,1037,1
38,498,8.131232204097078,True,419.74195710178464,1.0,False,False,False,0.9897437953412802,84,38,46,84,38,46,96,96,265,97,266,39,6600,1038,1
39,358,8.382875614674376,True,311.68247805408305,0.0,False,False,False,0.9870431698427808,53,3,53,53,3,53,101,265,101,102,102,40,6600,1039,1
40,294,11.04203790618193,True,337.70111573722414,0.0,False,False,False,0.9867792878311824,1,1,0,1,1,0,122,122,-1,123,-1,41,6600,1040,1
41,365,7.900337790983545,True,298.3729492754226,0.0,False,False,False,0.9911073502348634,52,45,9,52,45,9,60,60,188,61,189,42,6600,1041,1
42,299,9.397049095152504,True,293.7009140226578,0.0,False,False,False,0.9873244539124815,36,0,36,36,0,36,150,-1,150,151,151,43,6600,1042,1
43,553,7.900382151099153,True,454.2480778075855,0.0,False,False,False,0.9897446541818351,81,22,60,81,22,60,59,59,138,60,139,44,6600,1043,1
44,297,9.299344598047023,True,287.18101449095866,0.0,False,False,False,0.9825449527687897,46,0,46,46,0,46,144,-1,144,145,145,45,6600,1044,1
45,491,8.485494640504726,True,431.3703048907937,0.0,False,False,False,0.9907899749451072,69,60,9,69,60,9,50,50,257,51,258,46,6600,1045,1
46,444,9.958958024359495,False,460.4338241445792,1.0,False,False,True,0.8432993898041997,64,49,15,64,49,15,112,112,417,113,418,47,6600,1046,1
47,266,8.241972215165516,True,229.4522857149632,0.0,False,False,False,0.9764766763537366,28,28,0,28,28,0,76,76,-1,77,-1,48,6600,1047,1
48,483,7.94770311309272,True,396.7626857894076,0.0,False,False,False,0.9874366246808406,57,27,30,57,27,30,97,97,171,98,172,49,6600,1048,1
49,354,9.385471101890342,True,343.634445152581,0.0,False,False,False,0.9879552172308919,63,14,49,63,14,49,64,64,153,65,154,50,6600,1049,1
