,episode_length,velocity_step_mean,success,episode_reward,episode_cost,crash,crash_vehicle,out_of_road,route_completion,rss_unsafe_steps,rss_longitudinal_unsafe_steps,rss_lateral_unsafe_steps,rss_shield_steps,rss_longitudinal_shield_steps,rss_lateral_shield_steps,rss_first_unsafe_step,rss_first_longitudinal_unsafe_step,rss_first_lateral_unsafe_step,rss_first_shield_step,rss_first_lateral_shield_step,episode,ckpt_index,env_id,num_ep_in_one_env
35,398,9.213285975807333,True,381.58746917569414,0.0,False,False,False,0.9866329123635997,40,40,0,40,40,0,84,84,-1,85,-1,36,6000,1035,1
36,364,7.248288851508179,True,273.9604775531263,0.0,False,False,False,0.9821941684005436,49,34,15,49,34,15,37,37,136,38,137,37,6000,1036,1
37,324,10.26229134623596,True,345.1921043789148,0.0,False,False,False,0.9863240143127091,31,12,19,31,12,19,168,168,231,169,232,38,6000,1037,1
38,500,8.098786801485447,True,419.5149770235849,2.0,False,False,False,0.9907663380144588,85,41,44,85,41,44,100,100,265,101,266,39,6000,1038,1
39,366,8.240233505831059,True,315.1315829579191,0.0,False,False,False,0.985032598602099,56,3,54,56,3,54,103,265,103,104,104,40,6000,1039,1
40,158,10.266468206844895,False,168.79968386903136,1.0,False,False,True,0.4888474132185762,1,1,0,1,1,0,122,122,-1,123,-1,41,6000,1040,1
41,365,7.871007111629494,True,297.20457104020477,0.0,False,False,False,0.988808247626657,51,43,10,51,43,10,60,60,186,61,187,42,6000,1041,1
42,300,9.32244095025162,True,293.0884365559565,0.0,False,False,False,0.9852789974334034,35,0,35,35,0,35,148,-1,148,149,149,43,6000,1042,1
43,553,7.930556264949967,True,455.78341035358557,0.0,False,False,False,0.9898440887026747,83,20,63,83,20,63,61,61,138,62,139,44,6000,1043,1
44,311,8.9018370925278,True,288.23733437337467,0.0,False,False,False,0.9812108636316826,52,0,52,52,0,52,155,-1,155,156,156,45,6000,1044,1
45,490,8.466537206766114,True,429.9176939377276,0.0,False,False,False,0.9889656147313303,70,59,11,70,59,11,50,50,260,51,261,46,6000,1045,1
46,446,9.919388415345155,False,460.5059585083132,1.0,False,False,True,0.8453223633769517,64,48,16,64,48,16,115,115,416,116,417,47,6000,1046,1
47,269,8.188320811041617,True,230.2642239321361,0.0,False,False,False,0.9798932932735114,28,28,0,28,28,0,78,78,-1,79,-1,48,6000,1047,1
48,490,7.795716557043393,True,398.06036543666835,0.0,False,False,False,0.9884170353464908,67,22,45,67,22,45,99,99,166,100,167,49,6000,1048,1
49,355,9.301985807538093,True,343.0900994535728,0.0,False,False,False,0.9875376600143562,69,12,57,69,12,57,64,64,156,65,157,50,6000,1049,1
0,361,8.392807834803488,True,313.8143476404551,0.0,False,False,False,0.9869971497720388,52,30,27,52,30,27,70,70,112,71,113,1,6200,1000,1
1,304,9.555254360807265,True,302.6223452565877,0.0,False,False,False,0.9849500963451503,9,9,4,9,9,4,143,143,147,144,148,2,6200,1001,1
2,455,8.29008164773875,True,391.7492873121985,0.0,False,False,False,0.9887472421151968,82,9,73,82,9,73,93,116,93,94,94,3,6200,1002,1
3,491,8.410832314913728,True,428.6593983442961,0.0,False,False,False,0.9915377172474805,73,38,35,73,38,35,63,63,160,64,161,4,6200,1003,1
4,453,10.426377626201548,True,490.50872854715254,0.0,False,False,False,0.9904992079174104,51,51,0,51,51,0,112,112,-1,113,-1,5,6200,1004,1
5,404,8.842399580904639,True,372.7918705383456,0.0,False,False,False,0.9867311689081333,32,27,5,32,27,5,89,89,313,90,314,6,6200,1005,1
6,480,8.56799329622263,True,426.80883989976564,0.0,False,False,False,0.9894289719335262,72,17,55,72,17,55,54,54,212,55,213,7,6200,1006,1
7,438,9.310184171062508,True,424.22151589936516,0.0,False,False,False,0.9903428875616412,43,8,35,43,8,35,96,96,251,97,252,8,6200,1007,1
8,1500,2.0585074672857613,False,315.5917292475806,4.0,False,False,False,0.8499833155152152,45,34,11,45,34,11,101,101,285,102,286,9,6200,1008,1
9,345,9.936294436801079,True,356.2096166096859,0.0,False,False,False,0.9854814499284833,25,25,0,25,25,0,180,180,-1,181,-1,10,6200,1009,1
10,379,8.175510367538228,True,320.91272142086643,0.0,False,False,False,0.9861977374930607,44,31,15,44,31,15,73,103,73,74,74,11,6200,1010,1
11,425,7.816513190801026,True,342.7104191776011,0.0,False,False,False,0.9898191902161546,54,49,7,54,49,7,41,41,272,42,273,12,6200,1011,1
12,469,7.694610785221094,True,373.7336523220076,0.0,False,False,False,0.989032543034959,91,46,45,91,46,45,47,47,294,48,295,13,6200,1012,1
13,441,7.462869151826171,True,341.1559874304841,0.0,False,False,False,0.9846872963375212,53,49,4,53,49,4,68,68,371,69,372,14,6200,1013,1
14,219,11.509057398645755,True,262.1670578714729,0.0,False,False,False,0.9809382475573187,2,2,0,2,2,0,179,179,-1,180,-1,15,6200,1014,1
15,696,7.74078288497531,True,560.5726549930683,0.0,False,False,False,0.9923556170467992,88,58,35,88,58,35,73,73,84,74,85,16,6200,1015,1
16,272,11.075802092597087,True,312.50463283763804,0.0,False,False,False,0.9859383651563265,15,2,13,15,2,13,147,176,147,148,148,17,6200,1016,1
17,391,8.500963474120645,True,344.010773483302,0.0,False,False,False,0.9859806641989711,47,34,13,47,34,13,38,38,284,39,285,18,6200,1017,1
18,343,12.133039221138798,True,433.726520723995,0.0,False,False,False,0.9888991126359121,28,28,0,28,28,0,104,104,-1,105,-1,19,6200,1018,1
19,274,10.32711501671976,True,294.48887330003623,0.0,False,False,False,0.9854480477139979,23,23,0,23,23,0,124,124,-1,125,-1,20,6200,1019,1
20,302,7.708786410842802,True,241.36237016580054,0.0,False,False,False,0.9814845937331074,38,6,32,38,6,32,69,69,128,70,129,21,6200,1020,1
21,412,9.086682448975534,True,387.6326294877488,0.0,False,False,False,0.9896589838731201,53,53,0,53,53,0,99,99,-1,100,-1,22,6200,1021,1
22,417,9.592571921183334,True,416.0815600578559,0.0,False,False,False,0.9891210481096108,75,13,62,75,13,62,159,233,159,160,160,23,6200,1022,1
23,119,10.958182638306575,False,134.85893469986271,1.0,False,False,True,0.43969380109937906,0,0,0,0,0,0,-1,-1,-1,-1,-1,24,6200,1023,1
24,541,9.101185616658785,True,511.0134095897041,0.0,False,False,False,0.9907995606606654,106,0,106,106,0,106,127,-1,127,128,128,25,6200,1024,1
25,236,10.382666525391738,True,255.91202612124394,0.0,False,False,False,0.9866934727648006,15,15,0,15,15,0,140,140,-1,141,-1,26,6200,1025,1
26,620,7.545916569447389,True,483.5593972241398,0.0,False,False,False,0.9922200491551265,89,80,12,89,80,12,37,37,234,38,235,27,6200,1026,1
27,341,9.610238118893168,True,338.6641519118905,0.0,False,False,False,0.9873155560976331,41,2,39,41,2,39,86,294,86,87,87,28,6200,1027,1
28,214,10.50628943667454,True,234.20058433338892,0.0,False,False,False,0.9805888255434496,17,17,0,17,17,0,78,78,-1,79,-1,29,6200,1028,1
29,249,10.420858160408697,True,270.4680365368245,0.0,False,False,False,0.9808192302486014,20,0,20,20,0,20,168,-1,168,169,169,30,6200,1029,1
30,288,10.390664594352748,True,312.69975483521176,0.0,False,False,False,0.9868198691516253,10,0,10,10,0,10,232,-1,232,233,233,31,6200,1030,1
31,516,8.689771315998588,True,462.8504254436068,0.0,False,False,False,0.98953628840111,87,12,75,87,12,75,92,393,92,93,93,32,6200,1031,1
32,1500,1.0546552412848085,False,159.6936216458363,68.0,False,False,False,0.5557121732387538,193,0,193,193,0,193,113,-1,113,114,114,33,6200,1032,1
33,344,10.544323380499543,True,375.8159339669187,0.0,False,False,False,0.9883751593406553,39,39,0,39,39,0,101,101,-1,102,-1,34,6200,1033,1
34,747,6.9608316127274374,True,538.30727758705,0.0,False,False,False,0.990322282649321,184,25,159,184,25,159,69,167,69,70,70,35,6200,1034,1
