ckpt_index,success_rate,crash_rate,crash_count,out_of_road_rate,out_of_road_count,avg_reward,avg_episode_length,avg_velocity,avg_cost,avg_route_completion,num_episodes
6000,0.94,0.0,0,0.06,3,356.7322987139598,392.06,8.96708012828766,0.14,0.964410507215849,50
6200,0.9,0.0,0,0.06,3,352.79434438330895,447.4,8.698270753632126,6.1,0.9522677670284121,50
6400,0.9,0.0,0,0.1,5,347.54792338599486,381.94,9.004966485029758,1.96,0.9473020955336977,50
6600,0.94,0.02,1,0.06,3,354.5757966462052,383.78,9.152552785898944,0.18,0.9601312834004364,50
